Name	Sample	Factor	Cocat
GSM3409750	P507T	H3K27ac	GSM3409750_P507T
GSM3409751	P509T	H3K27ac	GSM3409751_P509T
GSM3409752	P527T	H3K27ac	GSM3409752_P527T
GSM3409753	P618T	H3K27ac	GSM3409753_P618T
GSM3409754	P710T	H3K27ac	GSM3409754_P710T
GSM3409755	P730T	H3K27ac	GSM3409755_P730T
GSM3409756	P342T	H3K27ac	GSM3409756_P342T
GSM3409757	P416T	H3K27ac	GSM3409757_P416T
GSM3409758	P427T	H3K27ac	GSM3409758_P427T
GSM3409759	P449T	H3K27ac	GSM3409759_P449T
GSM3409760	P462T	H3K27ac	GSM3409760_P462T
GSM3409761	P500T	H3K27ac	GSM3409761_P500T
GSM3409762	P552T	H3K27ac	GSM3409762_P552T
GSM3409763	P261T	H3K27ac	GSM3409763_P261T
GSM3409764	P348T	H3K27ac	GSM3409764_P348T
GSM3409765	P426T	H3K27ac	GSM3409765_P426T
GSM3409766	P431T	H3K27ac	GSM3409766_P431T
GSM3409767	P433T	H3K27ac	GSM3409767_P433T
GSM3409768	P444T	H3K27ac	GSM3409768_P444T
GSM3409769	P456T	H3K27ac	GSM3409769_P456T
GSM3409770	P457T	H3K27ac	GSM3409770_P457T
GSM3409771	P301T	H3K27ac	GSM3409771_P301T
GSM3409772	P324T	H3K27ac	GSM3409772_P324T
GSM3409773	P328T	H3K27ac	GSM3409773_P328T
GSM3409774	P343T	H3K27ac	GSM3409774_P343T
GSM3409775	P823T	H3K27ac	GSM3409775_P823T
GSM3409776	P305T	H3K27ac	GSM3409776_P305T
GSM3409777	P297T	H3K27ac	GSM3409777_P297T
GSM3409778	P300T	H3K27ac	GSM3409778_P300T
GSM3409779	P266T	H3K27ac	GSM3409779_P266T
GSM3409780	P450T	H3K27ac	GSM3409780_P450T
GSM3409781	P506T	H3K27ac	GSM3409781_P506T
GSM3409782	P310T	H3K27ac	GSM3409782_P310T
GSM3409783	P309T	H3K27ac	GSM3409783_P309T
GSM3409784	P268T	H3K27ac	GSM3409784_P268T
GSM3409785	P536T	H3K27ac	GSM3409785_P536T
GSM3409786	P643T	H3K27ac	GSM3409786_P643T
GSM3409787	P717T	H3K27ac	GSM3409787_P717T
GSM3409788	P737T	H3K27ac	GSM3409788_P737T
GSM3409789	P747T	H3K27ac	GSM3409789_P747T
GSM3409790	P779T	H3K27ac	GSM3409790_P779T
GSM3409791	P832T	H3K27ac	GSM3409791_P832T
GSM3409792	P452T	H3K27ac	GSM3409792_P452T
GSM3409793	P464T	H3K27ac	GSM3409793_P464T
GSM3409794	P531T	H3K27ac	GSM3409794_P531T
GSM3409795	P559T	H3K27ac	GSM3409795_P559T
GSM3409796	P560T	H3K27ac	GSM3409796_P560T
GSM3409797	P593T	H3K27ac	GSM3409797_P593T
GSM3409798	P603T	H3K27ac	GSM3409798_P603T
GSM3409799	P555T	H3K27ac	GSM3409799_P555T
GSM3409800	P611T	H3K27ac	GSM3409800_P611T
GSM3409801	P660T	H3K27ac	GSM3409801_P660T
GSM3409802	P265T	H3K27ac	GSM3409802_P265T
GSM3409803	P294T	H3K27ac	GSM3409803_P294T
GSM3409804	P355T	H3K27ac	GSM3409804_P355T
GSM3409805	P540T	H3K27ac	GSM3409805_P540T
GSM3409806	P544T	H3K27ac	GSM3409806_P544T
GSM3409807	P674T	H3K27ac	GSM3409807_P674T
GSM3409808	P680T	H3K27ac	GSM3409808_P680T
GSM3409809	P695T	H3K27ac	GSM3409809_P695T
GSM3409810	P298T	H3K27ac	GSM3409810_P298T
GSM3409811	P263T	H3K27ac	GSM3409811_P263T
GSM3409812	P254T	H3K27ac	GSM3409812_P254T
GSM3409813	P295T	H3K27ac	GSM3409813_P295T
GSM3409814	P272T	H3K27ac	GSM3409814_P272T
GSM3409815	P279T	H3K27ac	GSM3409815_P279T
GSM3409816	P249T	H3K27ac	GSM3409816_P249T
GSM3409817	P291T	H3K27ac	GSM3409817_P291T
GSM3409818	P280T	H3K27ac	GSM3409818_P280T
GSM3409819	P274T	H3K27ac	GSM3409819_P274T
GSM3409820	P230T	H3K27ac	GSM3409820_P230T
GSM3409821	P336T	H3K27ac	GSM3409821_P336T
GSM3409822	P223T	H3K4me3	GSM3409822_P223T
GSM3409823	P227T	H3K4me3	GSM3409823_P227T
GSM3409824	P229T	H3K4me3	GSM3409824_P229T
GSM3409825	P230T	H3K4me3	GSM3409825_P230T
GSM3409826	P249T	H3K4me3	GSM3409826_P249T
GSM3409827	P254T	H3K4me3	GSM3409827_P254T
GSM3409828	P261T	H3K4me3	GSM3409828_P261T
GSM3409829	P263T	H3K4me3	GSM3409829_P263T
GSM3409830	P265T	H3K4me3	GSM3409830_P265T
GSM3409831	P268T	H3K4me3	GSM3409831_P268T
GSM3409832	P272T	H3K4me3	GSM3409832_P272T
GSM3409833	P274T	H3K4me3	GSM3409833_P274T
GSM3409834	P276T	H3K4me3	GSM3409834_P276T
GSM3409835	P279T	H3K4me3	GSM3409835_P279T
GSM3409836	P280T	H3K4me3	GSM3409836_P280T
GSM3409837	P291T	H3K4me3	GSM3409837_P291T
GSM3409838	P294T	H3K4me3	GSM3409838_P294T
GSM3409839	P295T	H3K4me3	GSM3409839_P295T
GSM3409840	P298T	H3K4me3	GSM3409840_P298T
GSM3409841	P300T	H3K4me3	GSM3409841_P300T
GSM3409842	P301T	H3K4me3	GSM3409842_P301T
GSM3409843	P309T	H3K4me3	GSM3409843_P309T
GSM3409844	P310T	H3K4me3	GSM3409844_P310T
GSM3409845	P328T	H3K4me3	GSM3409845_P328T
GSM3409846	P336T	H3K4me3	GSM3409846_P336T
GSM3409847	P355T	H3K4me3	GSM3409847_P355T
GSM3409848	P431T	H3K4me3	GSM3409848_P431T
GSM3409849	P433T	H3K4me3	GSM3409849_P433T
GSM3409850	P449T	H3K4me3	GSM3409850_P449T
GSM3409851	P456T	H3K4me3	GSM3409851_P456T
GSM3409852	P462T	H3K4me3	GSM3409852_P462T
GSM3409853	P500T	H3K4me3	GSM3409853_P500T
GSM3409854	P506T	H3K4me3	GSM3409854_P506T
