"gene"	"entrez"	"MCF7"	"VCAP"	"MCF7_s"	"X22RV1"	"LNCAP_s"	"DU145"	"LNCAP_g"	"PC3"
"ABCB5"	340273	0.17718056	0.04469183	-0.02309452	0.13977158	-0.17214397	0.07022464	0.490898629215	0.382354427311
"ABCB6"	10058	-0.21635595	-0.02254122	-0.09187403	-0.14277521	-0.13510823	0.09041215	0.0151362510053	0.00176736926451
"ABCB7"	22	-0.9692157	-0.6037991	-1.56109	-1.766103	-1.381541	-1.57561	-1.28688387695	-1.37028808185
"ABCB8"	11194	0.22406136	0.08232798	0.10599108	0.06365042	0.17515392	0.03621668	-0.0341845886945	0.0349050852505
"ABCB9"	23457	-0.02422356	-0.13627748	0.04215465	0.24236435	0.02860263	0.01222982	-0.473392956758	-0.299039166963
"ABCC1"	4363	-0.1308251	0.5536188	0.1063913	-0.05977385	0.05474594	-0.12464588	0.0946416537886	0.0771986045854
"ABCC10"	89845	0.005045861	-0.214537936	-0.204332262	-0.009240015	-0.216653986	-0.430254695	-0.17529672678	0.186019516794
"ABCC11"	85320	-0.006597194	0.305970156	0.20940624	-0.10194986	0.02925956	0.04848293	-0.211023514424	-0.397250077969
"ABCC12"	94160	-0.1910745	0.1788785	0.1614627	0.077046	0.0297822	0.1179624	-0.0802387684097	0.322069330164
"ABCC2"	1244	-0.1212304	0.1413304	0.10602013	0.19810738	0.01312161	-0.01990022	0.056904731266	-0.0903069315356
"ABCC3"	8714	-0.2618683	-0.3244503	0.19910021	0.06696287	0.1410642	0.20871563	-0.272077160096	-0.223308375751
"ABCC4"	10257	0.07028436	0.10553581	0.3386601	0.120178	0.2472248	0.2147393	0.147411005225	0.216625624995
"ABCC5"	10057	0.27715	0.1990717	-0.08463522	0.01523388	-0.12205059	-0.08485272	-0.246551013978	-0.0206476809328
"ABCC6"	368	0.3070183	-0.2239669	-0.04568651	0.018614	-0.01741593	-0.0971932	-0.499988509299	-0.420282559335
"ABCC8"	6833	-0.27735495	0.04157085	0.08683157	0.14555065	0.24117938	0.14606269	0.0353156098685	-0.0548997905063
"ABCC9"	10060	0.11913524	0.04702288	0.03770192	-0.25133018	-0.27090067	-0.21620501	-0.039116590852	0.235689382277
"ABCD1"	215	-0.2855927	-0.1440663	0.03861979	-0.08398299	-0.15953875	-0.2493531	-0.342891803699	-0.564327494172
"ABCD2"	225	0.03092514	-0.15630625	-0.17774862	-0.12416994	-0.07503755	-0.20941181	0.159988660645	0.0069824552948
"ABCD3"	5825	-0.3470126	-0.1455489	-0.48778551	-0.32852481	-0.37615639	-0.08649636	0.212215889413	-0.0322629878459
"ABCD4"	5826	-0.3185579	0.1064781	-0.1030948	-0.081751133	0.004004396	0.054868051	-0.098779614216	-0.165678876397
